Type,RMSE,AUC,TjurR2,Species
MF,0.23702471734275668,0.8558572300183038,0.1217228615224915,An_maculipennis
MF,0.22768469326298196,0.9146959459459459,0.2259009038541806,An_claviger
MF,0.19188520486358354,0.9756671899529042,0.40429529194024805,Cx_pipiens
MF,0.18827587513409935,0.9850884409707938,0.5280254174158405,Cs_annulata
MF,0.33322271649033425,0.8809832623062195,0.27109923354209137,Water_boatman
MF,0.2983891467167062,0.7829573934837093,0.07842389670425594,Water_beetle_larva
MF,0.36038557415136124,0.8078992341287423,0.14761511511556794,Water_beetle
MF,0.29756111135766916,0.8934407711424053,0.27017826458477984,Damselfly_larva
MF,0.13311374418901953,0.8646496815286624,0.03417995809750626,Dragonfly_larva
MF,0.09422076997246699,0.8727655099894848,0.0326279285352873,Saucer_bug
MF,0.05457637187298674,0.9968652037617555,0.04022159969241655,Water_scorpion
MF,0.20357987532714072,0.8722578140166958,0.14168866151983295,Gammarus
MFCV,0.25424116060131,0.7464917632702868,0.05982031116738201,An_maculipennis
MFCV,0.2516425407283677,0.8357263513513513,0.13908227749974264,An_claviger
MFCV,0.24666403630716996,0.8422291993720565,0.2205281752960645,Cx_pipiens
MFCV,0.24564590346722937,0.8890374331550802,0.377628518761713,Cs_annulata
MFCV,0.3610855723453352,0.8177382496448644,0.2087642436881779,Water_boatman
MFCV,0.31931957097651115,0.5740350877192982,0.020968870032687006,Water_beetle_larva
MFCV,0.3879644752056997,0.69270206975125,0.08101786362645957,Water_beetle
MFCV,0.3330078826628714,0.8002861661269673,0.18607370909723558,Damselfly_larva
MFCV,0.13997372764162722,0.5451167728237792,-0.0022335002309136,Dragonfly_larva
MFCV,0.09823084513744673,0.4952681388012618,-0.0022611383488032894,Saucer_bug
MFCV,0.058563910312785863,0.4043887147335423,-0.005903908630263294,Water_scorpion
MFCV,0.2168266651580324,0.7573286740438749,0.0780898392356182,Gammarus
